permitnum,comment_n_rows,comment_max_cycle,comment_n_distinct_cycles,comment_n_review_types,comment_n_subjects,comment_has_structural,comment_has_eca,comment_has_fire,comment_has_design_review,comment_has_geotech,comment_avg_length,comment_repeated_correction_rate,comment_unresolved_rate,comment_partial_rate,comment_resubmit_rate,comment_tfidf_23,comment_tfidf_23_44,comment_tfidf_44,comment_tfidf_area,comment_tfidf_building,comment_tfidf_code,comment_tfidf_drainage,comment_tfidf_floor,comment_tfidf_new,comment_tfidf_note,comment_tfidf_permit,comment_tfidf_plan,comment_tfidf_plans,comment_tfidf_project,comment_tfidf_proposed,comment_tfidf_provide,comment_tfidf_required,comment_tfidf_review,comment_tfidf_seattle,comment_tfidf_shall,comment_tfidf_sheet,comment_tfidf_site,comment_tfidf_smc,comment_tfidf_smc_23,comment_tfidf_src,comment_tfidf_stormwater,comment_tfidf_tree,comment_tfidf_trees,comment_tfidf_update,comment_tfidf_wall
6698571-CN,48,3,3,7,28,1,1,1,0,1,344.1458333333333,0.0,0.0,0.0,0.14583333333333334,0.18552809375180204,0.0,0.0,0.16119433040776393,0.1395685003158144,0.15647004247025303,0.08803537434524347,0.12423026240153764,0.14216411071038065,0.24382707337245674,0.2163833416824661,0.24833082989643787,0.22026199800952564,0.13452812691476135,0.11421011671166818,0.21689499243422275,0.2414242328242161,0.27725093320950467,0.21081113785134195,0.22117905026400556,0.29375884050499357,0.14056067316738635,0.2487740871991909,0.1517896770291622,0.2334740876573463,0.0,0.0,0.0,0.17980603739585255,0.22640999746199622
6698760-CN,10,3,2,5,7,0,0,0,0,0,276.7,0.0,0.0,0.0,0.0,0.11636469635714818,0.0,0.0,0.2320152254392261,0.30387272779986213,0.18170229946859962,0.24395540982574804,0.25201328102925463,0.187720196033491,0.22585362138817558,0.21478258428497798,0.2916594551535296,0.2848334907005186,0.1049154408828076,0.11039982622180146,0.21924529080604785,0.22362790366154103,0.11837733306926848,0.21924529080604785,0.20805479541247057,0.11008720879515548,0.18560294148595227,0.10792553382742434,0.0,0.19590156644769532,0.16117721645930957,0.0,0.0,0.19094598901415438,0.0
6702370-CN,18,4,3,3,12,0,1,0,0,1,348.5,0.0,0.0,0.0,0.1111111111111111,0.10849331216412121,0.0,0.0,0.21632076624982843,0.0,0.0,0.3205689714297583,0.0,0.21693529971684627,0.0,0.3086263815208265,0.3216872187003449,0.3133991221959345,0.2052831715878958,0.10293193025129108,0.20441464224619954,0.0993517470385444,0.39346276860459,0.20441464224619954,0.0,0.24493034983862813,0.0,0.3323226550973936,0.11036980589389346,0.0,0.0,0.0,0.0,0.10514716208036501,0.0
6709389-CN,13,4,3,4,9,0,1,0,0,1,543.5384615384615,0.0,0.0,0.0,0.38461538461538464,0.0,0.0,0.0,0.18311114613758014,0.18027862366787445,0.0,0.0,0.0,0.1836313362674338,0.0,0.3655608208944596,0.17303285337745378,0.3288151686930396,0.17376804586946099,0.0,0.26667409241437345,0.24874455996746112,0.42938804844378886,0.28530662452173833,0.12020397069209188,0.10768932530519928,0.18156019906430906,0.3251112254280776,0.0,0.0,0.0,0.0,0.0,0.18678686608296652,0.0
6731867-CN,105,5,5,9,21,0,1,0,1,1,426.0095238095238,0.0,0.0,0.0,0.1523809523809524,0.056246133286618,0.0,0.0,0.1981533002864627,0.24258980659873497,0.20726860487168533,0.2144663381828726,0.25349842129156996,0.17134082794752012,0.230653852867914,0.18881989290565707,0.16677214308150334,0.21082004265253707,0.19438996089410443,0.15720245262196547,0.2367764806037113,0.23160105863333036,0.25728549973322556,0.21502303955777377,0.0,0.2495039119484655,0.0,0.17228586702648566,0.05721896298764704,0.0,0.0,0.10411954973877749,0.1515329376243023,0.232114762663121,0.2958250522248515
6736088-CN,22,3,3,4,12,0,0,0,0,0,395.8636363636364,0.0,0.0,0.0,0.22727272727272727,0.0,0.0,0.0,0.1870374738992805,0.23763260574491868,0.2241328677262352,0.3265947685383353,0.0,0.13308568327619055,0.0762983570901389,0.26493796002709963,0.23680536893476978,0.1624039677794516,0.20765277892466638,0.2502429621157416,0.17674307916235313,0.21090754599663247,0.26832555347596726,0.22808166043753772,0.0,0.203659263125061,0.13158463930712,0.0,0.0,0.0,0.4073590372613796,0.0,0.0,0.1907920098073771,0.09410148299380167
6736387-CN,122,10,5,9,35,1,1,1,0,1,900.4180327868852,0.0,0.0,0.0,0.5491803278688525,0.136919184159763,0.0,0.052090032552436466,0.13598149242981433,0.19276657343974793,0.16907310130966222,0.22059836958229959,0.19399120090565808,0.2053675603954133,0.19196031254104445,0.2308072694236532,0.22405325450447952,0.24026305178161755,0.17679082332604065,0.12310337313800367,0.2418434389991533,0.2175266688770457,0.23318458128810807,0.18501888665138458,0.2500315997510894,0.23201712505017755,0.13482973240781876,0.13274547780998908,0.08005469896143032,0.0,0.21874453213479386,0.0,0.08884436215150439,0.1530556559881903,0.298725795560578
6768034-CN,93,4,4,8,29,1,1,0,0,1,723.6451612903226,0.0,0.0,0.0,0.45161290322580644,0.18958062369684006,0.18559347344195712,0.17704352868303655,0.16479375562188467,0.14150277988335622,0.16191722677310347,0.22228146751679326,0.18326743409429508,0.17611319127999267,0.17392575338004532,0.1866593244888991,0.21685650631604173,0.21429455373355208,0.1363925519573898,0.18125889656260757,0.18902233070833732,0.1810820669164275,0.20361793947420706,0.16117050851198111,0.1597475711491974,0.2149510209353053,0.16729548696257,0.19169056483885358,0.1741862580370744,0.14666054087595465,0.21434685323090072,0.1517397546214848,0.13682003289813355,0.12955312360978274,0.2694925300391746
6773657-CN,58,9,9,7,28,1,0,0,0,0,428.86206896551727,0.0,0.017241379310344827,0.0,0.06896551724137931,0.09855828551757403,0.0,0.0,0.17682131019198657,0.21477125560958538,0.22429362526810195,0.2622900565210285,0.21415181990862708,0.1163926849480091,0.1959119521537959,0.23939826666894767,0.2088197788287491,0.1987056287362399,0.204177415194407,0.0,0.2061391551892981,0.1976589909331593,0.24741143622215866,0.23499064757210916,0.10407703657973957,0.18187293047306274,0.18110120790930762,0.12883249222554458,0.05921690965900132,0.22829985018256532,0.29896919638871744,0.0,0.0,0.18037076979808667,0.21228849523394064
6777633-CN,69,6,6,9,33,0,1,0,0,1,524.768115942029,0.0,0.0,0.0,0.08695652173913043,0.2189891749016873,0.0,0.0,0.17624905505108218,0.1244269112666121,0.13849651145580927,0.17621682227187296,0.1255361651949094,0.2153596559714406,0.19068464472076813,0.18353208315348363,0.20438297864018554,0.19340378064244929,0.17617976537575072,0.17933605867934105,0.20142924929428765,0.198775525555102,0.2567653888874848,0.1998776796845273,0.1284578530941895,0.15927385907544142,0.2026004995413983,0.21670895682134445,0.20174987823449206,0.0,0.26637700970259737,0.22269791240885928,0.21340806481040406,0.1379264162810253,0.1975785270287867
